# Run number  3 on Tue 2026-05-26T09:05:36 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.8750E-01    3.6232E+01    4.4653E+01    2.4549E+01    2.1270E+01    1.4508E+01    5.3346E+01    4.0192E+01    1.5729E+01    4.7601E+00    1.3053E+01    4.9921E+00    9.9090E+00
 1.0864E+00    3.6230E+01    4.4657E+01    2.4578E+01    2.1114E+01    1.4455E+01    5.3459E+01    4.0209E+01    1.5625E+01    4.7601E+00    1.3033E+01    5.0837E+00    9.8010E+00
 1.5866E+00    3.6248E+01    4.4657E+01    2.4534E+01    2.1172E+01    1.4430E+01    5.3444E+01    4.0212E+01    1.5565E+01    4.7601E+00    1.3094E+01    5.1091E+00    9.9090E+00
 2.0868E+00    3.6255E+01    4.4660E+01    2.4766E+01    2.1172E+01    1.4452E+01    5.3507E+01    4.0241E+01    1.5565E+01    4.7397E+00    1.3033E+01    4.9921E+00    9.9090E+00
 2.5871E+00    3.6255E+01    4.4668E+01    2.4815E+01    2.1297E+01    1.4533E+01    5.3518E+01    4.0250E+01    1.5508E+01    4.7397E+00    1.2992E+01    5.1397E+00    9.9090E+00
 3.0874E+00    3.6291E+01    4.4672E+01    2.4815E+01    2.1363E+01    1.4533E+01    5.3526E+01    4.0250E+01    1.5461E+01    4.7397E+00    1.3033E+01    5.1448E+00    9.8010E+00
 3.5876E+00    3.6288E+01    4.4670E+01    2.4821E+01    2.1117E+01    1.4606E+01    5.3500E+01    4.0239E+01    1.5409E+01    4.7193E+00    1.3033E+01    4.9921E+00    9.9090E+00
 4.0879E+00    3.6283E+01    4.4670E+01    2.4766E+01    2.1293E+01    1.4758E+01    5.3500E+01    4.0295E+01    1.5409E+01    4.7193E+00    1.3012E+01    5.0430E+00    9.8010E+00
 4.6448E+00    3.6310E+01    4.4674E+01    2.4633E+01    2.1293E+01    1.4898E+01    5.3550E+01    4.0325E+01    1.5390E+01    4.7193E+00    1.3073E+01    5.1448E+00    9.9090E+00
 5.1451E+00    3.6310E+01    4.4662E+01    2.4435E+01    2.1185E+01    1.5030E+01    5.3589E+01    4.0346E+01    1.5353E+01    4.6989E+00    1.2992E+01    5.0124E+00    1.0016E+01
