# Run number  4 on Tue 2026-05-26T10:05:11 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.9382E-01    6.0371E+01    6.7711E+01    2.5527E+01    2.2580E+01    1.7617E+01    8.4284E+01    6.2842E+01    2.0117E+01    5.3111E+00    2.2419E+01    7.4916E+00    1.0016E+01   
 9.9426E-01    6.0363E+01    6.7720E+01    2.5749E+01    2.2469E+01    1.7596E+01    8.4267E+01    6.2825E+01    2.0118E+01    5.2906E+00    2.2520E+01    7.4306E+00    1.0016E+01   
 1.4946E+00    6.0345E+01    6.7680E+01    2.5733E+01    2.2480E+01    1.7580E+01    8.4281E+01    6.2825E+01    2.0130E+01    5.2906E+00    2.2541E+01    7.6393E+00    1.0225E+01   
 1.9949E+00    6.0348E+01    6.7680E+01    2.5769E+01    2.2491E+01    1.7596E+01    8.4281E+01    6.2843E+01    2.0126E+01    5.3111E+00    2.2276E+01    7.3542E+00    9.9092E+00   
 2.5311E+00    6.0364E+01    6.7716E+01    2.5680E+01    2.2501E+01    1.7606E+01    8.4279E+01    6.2832E+01    2.0126E+01    5.3111E+00    2.2419E+01    7.3084E+00    1.0121E+01   
 3.0314E+00    6.0364E+01    6.7730E+01    2.5501E+01    2.2501E+01    1.7595E+01    8.4304E+01    6.2823E+01    2.0127E+01    5.3111E+00    2.2439E+01    7.3796E+00    1.0121E+01   
 3.5317E+00    6.0381E+01    6.7740E+01    2.5301E+01    2.2462E+01    1.7595E+01    8.4311E+01    6.2843E+01    2.0126E+01    5.2906E+00    2.2439E+01    7.5324E+00    1.0121E+01   
 4.0320E+00    6.0379E+01    6.7729E+01    2.5285E+01    2.2452E+01    1.7569E+01    8.4315E+01    6.2843E+01    2.0123E+01    5.2906E+00    2.2419E+01    7.3135E+00    1.0121E+01   
 4.6034E+00    6.0372E+01    6.7729E+01    2.5110E+01    2.2477E+01    1.7564E+01    8.4326E+01    6.2832E+01    2.0139E+01    5.2906E+00    2.2541E+01    7.3135E+00    1.0225E+01   
 5.1037E+00    6.0380E+01    6.7743E+01    2.5019E+01    2.2530E+01    1.7577E+01    8.4326E+01    6.2845E+01    2.0125E+01    5.3111E+00    2.2561E+01    7.3338E+00    1.0121E+01   
 5.6039E+00    6.0383E+01    6.7737E+01    2.5323E+01    2.2530E+01    1.7555E+01    8.4323E+01    6.2839E+01    2.0125E+01    5.3111E+00    2.2541E+01    7.3695E+00    1.0225E+01   
 6.1045E+00    6.0369E+01    6.7730E+01    2.5321E+01    2.2494E+01    1.7571E+01    8.4325E+01    6.2865E+01    2.0135E+01    5.3111E+00    2.2276E+01    7.4153E+00    1.0121E+01   
 6.7080E+00    6.0382E+01    6.7739E+01    2.5188E+01    2.2569E+01    1.7586E+01    8.4368E+01    6.2868E+01    2.0135E+01    5.2906E+00    2.2398E+01    7.5884E+00    9.9092E+00   
 7.2085E+00    6.0363E+01    6.7719E+01    2.5172E+01    2.2532E+01    1.7570E+01    8.4358E+01    6.2868E+01    2.0140E+01    5.2906E+00    2.2296E+01    7.5527E+00    1.0121E+01   
 7.7090E+00    6.0383E+01    6.7719E+01    2.5113E+01    2.2477E+01    1.7553E+01    8.4356E+01    6.2891E+01    2.0128E+01    5.3111E+00    2.2439E+01    7.3186E+00    1.0016E+01   
 8.2093E+00    6.0390E+01    6.7749E+01    2.5352E+01    2.2483E+01    1.7596E+01    8.4356E+01    6.2878E+01    2.0163E+01    5.2906E+00    2.2459E+01    7.3338E+00    1.0225E+01   
 8.7799E+00    6.0392E+01    6.7747E+01    2.5394E+01    2.2483E+01    1.7574E+01    8.4390E+01    6.2877E+01    2.0163E+01    5.2906E+00    2.2581E+01    7.4560E+00    1.0121E+01   
 9.2802E+00    6.0392E+01    6.7754E+01    2.5516E+01    2.2614E+01    1.7539E+01    8.4401E+01    6.2893E+01    2.0163E+01    5.2906E+00    2.2459E+01    7.5069E+00    9.9092E+00   
 9.7806E+00    6.0398E+01    6.7754E+01    2.5358E+01    2.2572E+01    1.7539E+01    8.4424E+01    6.2895E+01    2.0129E+01    5.2906E+00    2.2602E+01    7.3186E+00    1.0121E+01   
 1.0281E+01    6.0407E+01    6.7754E+01    2.5358E+01    2.2576E+01    1.7524E+01    8.4405E+01    6.2895E+01    2.0144E+01    5.2906E+00    2.2419E+01    7.3033E+00    1.0121E+01   
 1.0900E+01    6.0392E+01    6.7754E+01    2.5211E+01    2.2503E+01    1.7541E+01    8.4396E+01    6.2917E+01    2.0141E+01    5.2906E+00    2.2459E+01    7.4407E+00    1.0016E+01   
 1.1401E+01    6.0390E+01    6.7761E+01    2.5134E+01    2.2576E+01    1.7547E+01    8.4410E+01    6.2931E+01    2.0154E+01    5.3111E+00    2.2541E+01    7.3644E+00    1.0225E+01   
 1.1901E+01    6.0393E+01    6.7760E+01    2.5128E+01    2.2576E+01    1.7578E+01    8.4402E+01    6.2925E+01    2.0154E+01    5.3111E+00    2.2602E+01    7.5629E+00    1.0016E+01   
 1.2401E+01    6.0393E+01    6.7753E+01    2.5324E+01    2.2534E+01    1.7594E+01    8.4435E+01    6.2950E+01    2.0181E+01    5.3111E+00    2.2581E+01    7.3186E+00    1.0016E+01   
 1.2981E+01    6.0393E+01    6.7765E+01    2.5230E+01    2.2558E+01    1.7631E+01    8.4451E+01    6.2948E+01    2.0185E+01    5.2906E+00    2.2561E+01    7.3186E+00    1.0121E+01   
 1.3481E+01    6.0403E+01    6.7763E+01    2.5230E+01    2.2561E+01    1.7638E+01    8.4475E+01    6.2963E+01    2.0195E+01    5.2906E+00    2.2459E+01    7.5273E+00    1.0121E+01   
 1.3981E+01    6.0421E+01    6.7763E+01    2.5195E+01    2.2647E+01    1.7629E+01    8.4475E+01    6.2965E+01    2.0204E+01    5.3111E+00    2.2541E+01    7.3287E+00    1.0016E+01   
 1.4482E+01    6.0452E+01    6.7777E+01    2.5136E+01    2.2654E+01    1.7630E+01    8.4497E+01    6.2968E+01    2.0224E+01    5.3111E+00    2.2419E+01    7.3949E+00    1.0121E+01   
 1.5093E+01    6.0439E+01    6.7797E+01    2.5089E+01    2.2589E+01    1.7647E+01    8.4492E+01    6.2978E+01    2.0224E+01    5.3111E+00    2.2317E+01    7.4866E+00    1.0121E+01   
 1.5593E+01    6.0453E+01    6.7809E+01    2.5130E+01    2.2605E+01    1.7656E+01    8.4483E+01    6.2968E+01    2.0227E+01    5.3111E+00    2.2317E+01    7.3135E+00    1.0225E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 1.6093E+01    6.0465E+01    6.7823E+01    2.5104E+01    2.2673E+01    1.7656E+01    8.4493E+01    6.2974E+01    2.0227E+01    5.3111E+00    2.2317E+01    7.6087E+00    1.0016E+01   
 1.6594E+01    6.0494E+01    6.7820E+01    2.5120E+01    2.2637E+01    1.7665E+01    8.4509E+01    6.2974E+01    2.0232E+01    5.3111E+00    2.2378E+01    7.5476E+00    1.0016E+01   
 1.7165E+01    6.0493E+01    6.7820E+01    2.5147E+01    2.2574E+01    1.7698E+01    8.4501E+01    6.2993E+01    2.0245E+01    5.3111E+00    2.2480E+01    7.3593E+00    1.0121E+01   
 1.7665E+01    6.0498E+01    6.7835E+01    2.5232E+01    2.2563E+01    1.7723E+01    8.4501E+01    6.2998E+01    2.0251E+01    5.3111E+00    2.2561E+01    7.3440E+00    1.0121E+01   
 1.8166E+01    6.0469E+01    6.7819E+01    2.5356E+01    2.2548E+01    1.7731E+01    8.4519E+01    6.2995E+01    2.0251E+01    5.3111E+00    2.2480E+01    7.3287E+00    1.0016E+01   
 1.8666E+01    6.0469E+01    6.7829E+01    2.5597E+01    2.2515E+01    1.7731E+01    8.4517E+01    6.3001E+01    2.0238E+01    5.3315E+00    2.2541E+01    7.6393E+00    1.0121E+01   
 1.9261E+01    6.0474E+01    6.7829E+01    2.5776E+01    2.2571E+01    1.7792E+01    8.4520E+01    6.3008E+01    2.0263E+01    5.3111E+00    2.2602E+01    7.3287E+00    1.0016E+01   
 1.9762E+01    6.0491E+01    6.7845E+01    2.5776E+01    2.2594E+01    1.7786E+01    8.4546E+01    6.3008E+01    2.0281E+01    5.3315E+00    2.2643E+01    7.5629E+00    1.0016E+01   
 2.0262E+01    6.0494E+01    6.7845E+01    2.5783E+01    2.2518E+01    1.7768E+01    8.4546E+01    6.3018E+01    2.0272E+01    5.3111E+00    2.2602E+01    7.3898E+00    1.0121E+01   
 2.0762E+01    6.0512E+01    6.7846E+01    2.5704E+01    2.2438E+01    1.7726E+01    8.4526E+01    6.3007E+01    2.0281E+01    5.3111E+00    2.2500E+01    7.3389E+00    1.0121E+01   
 2.1334E+01    6.0531E+01    6.7865E+01    2.5789E+01    2.2454E+01    1.7715E+01    8.4529E+01    6.3018E+01    2.0281E+01    5.3111E+00    2.2520E+01    7.3847E+00    1.0121E+01   
