# Run number  6 on Tue 2026-05-26T14:05:55 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.9671E-01    5.7963E+01    6.7155E+01    2.5733E+01    2.2625E+01    1.7954E+01    8.3476E+01    6.2269E+01    2.0262E+01    5.3111E+00    2.1950E+01    7.2320E+00    8.0791E+00   
 9.6498E-01    5.7984E+01    6.7170E+01    2.5747E+01    2.2699E+01    1.7984E+01    8.3459E+01    6.2295E+01    2.0246E+01    5.3111E+00    2.2134E+01    7.2422E+00    8.2188E+00   
 1.4652E+00    5.8008E+01    6.7170E+01    2.5674E+01    2.2788E+01    1.8041E+01    8.3467E+01    6.2301E+01    2.0265E+01    5.2906E+00    2.2052E+01    7.4407E+00    8.4887E+00   
 1.9654E+00    5.8002E+01    6.7155E+01    2.5674E+01    2.2679E+01    1.8025E+01    8.3469E+01    6.2305E+01    2.0258E+01    5.3111E+00    2.2072E+01    7.2575E+00    8.2188E+00   
 2.4657E+00    5.8002E+01    6.7179E+01    2.5659E+01    2.2672E+01    1.8066E+01    8.3480E+01    6.2305E+01    2.0279E+01    5.3111E+00    2.1991E+01    7.4509E+00    8.2188E+00   
 2.9660E+00    5.8010E+01    6.7175E+01    2.5610E+01    2.2656E+01    1.8133E+01    8.3472E+01    6.2306E+01    2.0259E+01    5.3111E+00    2.2032E+01    7.2473E+00    8.3552E+00   
 3.4662E+00    5.8008E+01    6.7167E+01    2.5650E+01    2.2656E+01    1.8092E+01    8.3472E+01    6.2329E+01    2.0259E+01    5.2906E+00    2.1950E+01    7.5375E+00    8.3552E+00   
 3.9665E+00    5.8011E+01    6.7167E+01    2.5696E+01    2.2667E+01    1.7959E+01    8.3486E+01    6.2348E+01    2.0280E+01    5.3111E+00    2.1930E+01    7.4458E+00    8.3552E+00   
 4.4668E+00    5.8004E+01    6.7160E+01    2.5696E+01    2.2746E+01    1.7959E+01    8.3477E+01    6.2347E+01    2.0294E+01    5.2906E+00    2.1950E+01    7.3236E+00    8.2188E+00   
 4.9671E+00    5.8004E+01    6.7169E+01    2.5729E+01    2.2695E+01    1.7898E+01    8.3465E+01    6.2333E+01    2.0289E+01    5.3111E+00    2.2032E+01    7.5324E+00    8.3552E+00   
 5.4673E+00    5.8013E+01    6.7175E+01    2.5809E+01    2.2743E+01    1.7884E+01    8.3482E+01    6.2342E+01    2.0307E+01    5.2906E+00    2.1991E+01    7.5375E+00    7.9360E+00   
 5.9677E+00    5.7996E+01    6.7173E+01    2.5795E+01    2.2743E+01    1.7866E+01    8.3468E+01    6.2337E+01    2.0291E+01    5.2906E+00    2.2093E+01    7.5527E+00    8.2188E+00   
