# Run number  1 on Fri 2026-05-15T12:05:34 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 3.1276E-01    1.9799E+01    1.9955E+01    2.0737E+01    2.2530E+01    2.0394E+01    2.0550E+01    2.0472E+01    2.0141E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 9.4364E-01    1.9803E+01    1.9968E+01    2.0721E+01    2.2500E+01    2.0404E+01    2.0547E+01    2.0472E+01    2.0129E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 1.4440E+00    1.9788E+01    1.9954E+01    2.0727E+01    2.2502E+01    2.0409E+01    2.0571E+01    2.0479E+01    2.0145E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8250E+00   
 1.9443E+00    1.9788E+01    1.9958E+01    2.0739E+01    2.2389E+01    2.0399E+01    2.0573E+01    2.0479E+01    2.0153E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 2.4446E+00    1.9811E+01    1.9950E+01    2.0755E+01    2.2289E+01    2.0399E+01    2.0568E+01    2.0479E+01    2.0151E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8987E+00   
 2.9452E+00    1.9797E+01    1.9953E+01    2.0751E+01    2.2229E+01    2.0399E+01    2.0564E+01    2.0478E+01    2.0129E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.9705E+00   
 3.4455E+00    1.9787E+01    1.9953E+01    2.0726E+01    2.2229E+01    2.0415E+01    2.0564E+01    2.0465E+01    2.0129E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8250E+00   
 3.9458E+00    1.9797E+01    1.9943E+01    2.0720E+01    2.2182E+01    2.0380E+01    2.0538E+01    2.0469E+01    2.0123E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 4.4461E+00    1.9797E+01    1.9965E+01    2.0710E+01    2.2168E+01    2.0401E+01    2.0575E+01    2.0473E+01    2.0142E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 4.9464E+00    1.9787E+01    1.9947E+01    2.0710E+01    2.2096E+01    2.0401E+01    2.0560E+01    2.0473E+01    2.0146E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8250E+00   
 5.4468E+00    1.9793E+01    1.9941E+01    2.0699E+01    2.2092E+01    2.0408E+01    2.0576E+01    2.0504E+01    2.0156E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.9705E+00   
 5.9470E+00    1.9788E+01    1.9941E+01    2.0723E+01    2.2092E+01    2.0416E+01    2.0576E+01    2.0501E+01    2.0156E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8987E+00   
 6.4473E+00    1.9785E+01    1.9960E+01    2.0732E+01    2.2054E+01    2.0416E+01    2.0599E+01    2.0493E+01    2.0164E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8250E+00   
 6.9476E+00    1.9785E+01    1.9946E+01    2.0732E+01    2.2169E+01    2.0432E+01    2.0621E+01    2.0499E+01    2.0237E+01    5.9640E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 7.4479E+00    1.9767E+01    1.9949E+01    2.0740E+01    2.2270E+01    2.0447E+01    2.0611E+01    2.0515E+01    2.0171E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8987E+00   
 7.9481E+00    1.9786E+01    1.9945E+01    2.0741E+01    2.2168E+01    2.0429E+01    2.0595E+01    2.0507E+01    2.0176E+01    5.9844E+00    6.0085E+00    0.0000E+00    2.8987E+00   
 8.4485E+00    1.9783E+01    1.9960E+01    2.0782E+01    2.2183E+01    2.0436E+01    2.0595E+01    2.0506E+01    2.0176E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8987E+00   
 8.9697E+00    1.9786E+01    1.9957E+01    2.0809E+01    2.2085E+01    2.0436E+01    2.0579E+01    2.0501E+01    2.0175E+01    5.9640E+00    6.0289E+00    0.0000E+00    2.8250E+00   
