# Run number  5 on Tue 2026-05-26T13:05:52 BST
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Ic (amp)      Qc (l/min)    
 2.9066E-01    4.0593E+01    4.8551E+01    2.5846E+01    2.1771E+01    1.9955E+01    5.5453E+01    4.5394E+01    1.7554E+01    5.0662E+00    1.4539E+01    5.5011E+00    1.0225E+01   
 8.0690E-01    4.0620E+01    4.8564E+01    2.5860E+01    2.1748E+01    2.0023E+01    5.5482E+01    4.5465E+01    1.7590E+01    5.0662E+00    1.4499E+01    5.3993E+00    1.0121E+01   
 1.3211E+00    4.0635E+01    4.8591E+01    2.5787E+01    2.1691E+01    2.0095E+01    5.5545E+01    4.5527E+01    1.7623E+01    5.0662E+00    1.4580E+01    5.3840E+00    1.0225E+01   
 1.8213E+00    4.0657E+01    4.8631E+01    2.5787E+01    2.1648E+01    2.0095E+01    5.5581E+01    4.5527E+01    1.7657E+01    5.0662E+00    1.4539E+01    5.4910E+00    1.0225E+01   
 2.3216E+00    4.0702E+01    4.8646E+01    2.5782E+01    2.1531E+01    2.0175E+01    5.5626E+01    4.5607E+01    1.7695E+01    5.0866E+00    1.4478E+01    5.4299E+00    1.0016E+01   
 2.8218E+00    4.0709E+01    4.8646E+01    2.5781E+01    2.1531E+01    2.0225E+01    5.5626E+01    4.5658E+01    1.7735E+01    5.0866E+00    1.4458E+01    5.3891E+00    1.0121E+01   
 3.3221E+00    4.0710E+01    4.8642E+01    2.5961E+01    2.1662E+01    2.0288E+01    5.5589E+01    4.5719E+01    1.7735E+01    5.0662E+00    1.4478E+01    5.4451E+00    1.0225E+01   
 3.8225E+00    4.0710E+01    4.8686E+01    2.5957E+01    2.1732E+01    2.0375E+01    5.5658E+01    4.5791E+01    1.7791E+01    5.0866E+00    1.4499E+01    5.4299E+00    1.0225E+01   
 4.3229E+00    4.0729E+01    4.8724E+01    2.5973E+01    2.1622E+01    2.0390E+01    5.5690E+01    4.5806E+01    1.7829E+01    5.0866E+00    1.4499E+01    5.3993E+00    1.0016E+01   
 4.8233E+00    4.0769E+01    4.8728E+01    2.5873E+01    2.1672E+01    2.0427E+01    5.5744E+01    4.5876E+01    1.7878E+01    5.1070E+00    1.4519E+01    5.3942E+00    1.0016E+01   
 5.3237E+00    4.0776E+01    4.8728E+01    2.5777E+01    2.1672E+01    2.0492E+01    5.5744E+01    4.5912E+01    1.7898E+01    5.1070E+00    1.4580E+01    5.5062E+00    1.0121E+01   
 5.8240E+00    4.0812E+01    4.8739E+01    2.5728E+01    2.1773E+01    2.0539E+01    5.5787E+01    4.5959E+01    1.7898E+01    5.0866E+00    1.4519E+01    5.4808E+00    1.0016E+01   
 6.3243E+00    4.0812E+01    4.8772E+01    2.5699E+01    2.1578E+01    2.0604E+01    5.5817E+01    4.6009E+01    1.7961E+01    5.1070E+00    1.4499E+01    5.3993E+00    9.9092E+00   
 6.8246E+00    4.0848E+01    4.8792E+01    2.5699E+01    2.1694E+01    2.0604E+01    5.5825E+01    4.6009E+01    1.7993E+01    5.1070E+00    1.4600E+01    5.5826E+00    1.0121E+01   
 7.3250E+00    4.0871E+01    4.8829E+01    2.5727E+01    2.1653E+01    2.0637E+01    5.5841E+01    4.6068E+01    1.8030E+01    5.1070E+00    1.4580E+01    5.4146E+00    1.0225E+01   
